QGC WPL 110
0	1	0	16	0	0	0	0	-15.83834975529116	-47.92450222443257	0	1
0	1	0	22	0	0	0	0	0	0	50	1
0	1	0	16	0	0	0	0	-15.83834975529116	-47.92450222443257	50	1
0	1	0	16	0	0	0	0	-15.83833749848398	-47.92479626159583	50	1
0	1	0	16	0	0	0	0	-15.838449099911307	-47.92504738341485	50	1
0	1	0	16	0	0	0	0	-15.838796160603309	-47.925399423348054	50	1
0	1	0	16	0	0	0	0	-15.839190957542726	-47.92561534117375	50	1
0	1	0	16	0	0	0	0	-15.839789602409791	-47.92580577801381	50	1
0	1	0	16	0	0	0	0	-15.840357281247858	-47.92588624428426	50	1
0	1	0	16	0	0	0	0	-15.840679061190839	-47.925889671609156	50	1
